ID_FRUTO, NOMBRE, KC_ENERO, KC_FEBRERO, KC_MARZO, KC_ABRIL, KC_MAYO, KC_JUNIO, KC_JULIO, KC_AGOSTO, KC_SEPTIEMBRE, KC_OCTUBRE, KC_NOVIEMBRE, KC_DICIEMBRE, CREADO, EDITADO
1,Aguacate,0,0,0,0,0,0,0,0,0,0,0,0,,
2,Ajo,0,0,0,0,0,0,0,0,0,0,0,0,,
3,Algodón,0,0,0,0,0,0,0,0,0,0,0,0,,
4,Calabaza,0,0,0,0,0,0,0,0,0,0,0,0,,
5,Cebolla,0,0,0,0,0,0,0,0,0,0,0,0,,
6,Cebollín,0,0,0,0,0,0,0,0,0,0,0,0,,
7,Cereza,0,0,0,0,0,0,0,0,0,0,0,0,,
8,Champiñón,0,0,0,0,0,0,0,0,0,0,0,0,,
9,Chícharo,0,0,0,0,0,0,0,0,0,0,0,0,,
10,Chile,0,0,0,0,0,0,0,0,0,0,0,0,,
11,Coco,0,0,0,0,0,0,0,0,0,0,0,0,,
12,Coliflor,0,0,0,0,0,0,0,0,0,0,0,0,,
13,Durazno,0,0,0,0,0,0,0,0,0,0,0,0,,
14,Esparrago,0,0,0,0,0,0,0,0,0,0,0,0,,
15,Frambuesa,0,0,0,0,0,0,0,0,0,0,0,0,,
16,Fresa,0,0,0,0,0,0,0,0,0,0,0,0,,
17,Granada,0,0,0,0,0,0,0,0,0,0,0,0,,
18,Kiwi,0,0,0,0,0,0,0,0,0,0,0,0,,
19,Limón,0,0,0,0,0,0,0,0,0,0,0,0,,
20,Maíz,0,0,0,0,0,0,0,0,0,0,0,0,,
21,Mango,0,0,0,0,0,0,0,0,0,0,0,0,,
22,Maní,0,0,0,0,0,0,0,0,0,0,0,0,,
23,Manzana,0,0,0,0,0,0,0,0,0,0,0,0,,
24,Melón,0,0,0,0,0,0,0,0,0,0,0,0,,
25,Mora Azul,0,0,0,0,0,0,0,0,0,0,0,0,,
26,Naranja,0,0,0,0,0,0,0,0,0,0,0,0,,
27,Nogal,0,0,0,0,0,0,0,0,0,0,0,0,,
28,Olivos,0,0,0,0,0,0,0,0,0,0,0,0,,
29,Papa,0,0,0,0,0,0,0,0,0,0,0,0,,
30,Papaya,0,0,0,0,0,0,0,0,0,0,0,0,,
31,Pepino,0,0,0,0,0,0,0,0,0,0,0,0,,
32,Pera,0,0,0,0,0,0,0,0,0,0,0,0,,
33,Pimiento,0,0,0,0,0,0,0,0,0,0,0,0,,
34,Piña,0,0,0,0,0,0,0,0,0,0,0,0,,
35,Plátano,0,0,0,0,0,0,0,0,0,0,0,0,,
36,Rábano,0,0,0,0,0,0,0,0,0,0,0,0,,
37,Repollo,0,0,0,0,0,0,0,0,0,0,0,0,,
38,Sandia,0,0,0,0,0,0,0,0,0,0,0,0,,
39,Tomate,0,0,0,0,0,0,0,0,0,0,0,0,,
40,Uva,0,0,0,0,0,0,0,0,0,0,0,0,,
41,Zanahoria,0,0,0,0,0,0,0,0,0,0,0,0,,
